nutrient,microbe,health_outcome,total_effect,total_p,direct_effect,direct_p,indirect_effect,indirect_p,proportion_estimate,proportion_p,adjusted_total_p
fruit_portions,Atopostipes,bloating,0.015882550645618554,0.014,0.005503024355503727,0.242,0.010379526290114825,0.004,0.6535175943530316,0.018,0.017783783783783782
fruit_portions,Blautia,bloating,0.0187470956382656,0.014,0.014850674776376856,0.076,0.0038964208618887416,0.142,0.20784130710548943,0.156,0.017783783783783782
fruit_portions,Isobaculum,bloating,0.017899761385354467,0.014,0.013225872667034635,0.058,0.004673888718319832,0.174,0.26111458235102475,0.18,0.017783783783783782
fruit_portions,Jeotgalicoccus,bloating,0.013450137249887039,0.014,0.00399080117154735,0.278,0.00945933607833969,0.008,0.7032891860206953,0.018,0.017783783783783782
fruit_portions,Subdoligranulum,bloating,0.01929914939948446,0.024,0.013181210098578512,0.086,0.006117939300905947,0.046,0.3170056448741402,0.066,0.025636363636363634
fruit_portions,Eubacteriumhalliigroup,bloating,0.01998921417361867,0.01,0.013829977518193329,0.096,0.006159236655425341,0.046,0.3081280035287314,0.056,0.017407407407407406
plant_protein,Comamonas,bloating,0.009013492862625318,0.026,0.0068687726155219715,0.08,0.002144720247103347,0.112,0.23794552009870504,0.134,0.02656521739130435
plant_protein,Pajaroellobacter,bloating,0.009631434104571991,0.022,0.007108709557446422,0.072,0.0025227245471255684,0.112,0.2619261596700376,0.122,0.024046511627906973
fruit_or_vegetable,Comamonas,bloating,0.008087987037081952,0.002,0.006516846106172472,0.034,0.0015711409309094797,0.136,0.19425611387680075,0.134,0.008545454545454545
fruit_or_vegetable,Eggerthia,bloating,0.008277045317906583,0.004,0.006456418320431668,0.046,0.0018206269974749144,0.116,0.2199609797394929,NA,0.013428571428571429
fruit_or_vegetable,Jeotgalicoccus,bloating,0.006910731575008886,0,0.0031409609976523114,0.064,0.0037697705773565744,0.002,0.545495152928397,NA,0
fruit_or_vegetable,Pajaroellobacter,bloating,0.00863598867823278,0.002,0.006825977375637683,0.028,0.0018100113025950968,0.112,0.20958935566431144,0.114,0.008545454545454545
fruit_or_vegetable,Salinicoccus,bloating,0.008955249673751383,0.006,0.007167219374520025,0.018,0.0017880302992313584,0.106,0.1996628083382455,0.104,0.013428571428571429
fruit_or_vegetable,Eubacteriumhalliigroup,bloating,0.008507585404308859,0.012,0.00650709059863859,0.018,0.0020004948056702694,0.074,0.23514248880264826,0.086,0.017783783783783782
fruit_or_vegetable,Comamonas,abdominalpain,0.011558497182892771,0.012,0.00932409771516795,0.11,0.0022343994677248196,0.132,0.19331228207001314,0.144,0.017783783783783782
fruit_or_vegetable,Eggerthia,abdominalpain,0.010113051142249821,0.01,0.008073796551343007,0.064,0.002039254590906813,0.164,0.20164582995010405,0.17,0.017407407407407406
fruit_or_vegetable,Hespellia,abdominalpain,0.00898896650425911,0.006,0.005896022427346123,0.124,0.003092944076912987,0.05,0.34408227858536383,NA,0.013428571428571429
fruit_or_vegetable,Jeotgalicoccus,abdominalpain,0.011636559507811835,0.026,0.007824552090086643,0.124,0.0038120074177251917,0.032,0.3275888732546868,NA,0.02656521739130435
fruit_or_vegetable,Mobiluncus,abdominalpain,0.00941243536718743,0.014,0.007011285580782678,0.086,0.002401149786404753,0.196,0.2551039866659133,0.21,0.017783783783783782
fruit_or_vegetable,Pajaroellobacter,abdominalpain,0.009721561483362146,0.018,0.0077032856801919364,0.088,0.00201827580317021,0.138,0.2076081920198072,0.152,0.020142857142857143
fruit_or_vegetable,Papillibacter,abdominalpain,0.008332061026025645,0.016,0.0064855750028488465,0.054,0.0018464860231767978,0.054,0.2216121578333618,0.07,0.0188
vitaminA,Cryomorpha,lower_appetite,1.8411185235782188e-5,0.002,1.194816370051233e-5,0.014,6.46302153526986e-6,0.16,0.35103777690036814,0.162,0.008545454545454545
vitaminA,LachnospiraceaeUCG_001,lower_appetite,2.5519098078148888e-5,0.002,1.743575055632675e-5,0.06,8.083347521822134e-6,0.012,0.316756787291931,0.014,0.008545454545454545
vitaminA,Marinicella,lower_appetite,2.5581435075299983e-5,0.004,2.060603072384797e-5,0.026,4.975404351452013e-6,0.164,0.19449277715682134,NA,0.013428571428571429
vitaminA,Papillibacter,lower_appetite,2.79690952533387e-5,0.012,2.2433672208800142e-5,0.048,5.535423044538557e-6,0.088,0.1979121238781504,NA,0.017783783783783782
vitaminC,LachnospiraceaeUCG_001,lower_appetite,3.995732416139702e-4,0.016,3.0370138464337376e-4,0.048,9.587185697059646e-5,0.062,0.2399356287807149,0.066,0.0188
vitaminC,Papillibacter,lower_appetite,3.5460315157458816e-4,0.008,2.971635420473725e-4,0.03,5.743960952721563e-5,0.092,0.1619827947725773,0.1,0.01504
fruit_or_vegetable,LachnospiraceaeUCG_001,lower_appetite,0.011881954541293923,0.018,0.007896641719559968,0.106,0.003985312821733955,0.024,0.3354088595343137,0.034,0.020142857142857143
fruit_or_vegetable,Papillibacter,lower_appetite,0.013116395955770382,0.016,0.010494440416368489,0.028,0.002621955539401894,0.078,0.19989908418771085,0.09,0.0188
