"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.311111111111111,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.0918273645546373,0,1
1,0.311111111111111,0,1
2,0.482758620689655,48,2
2,0.378378378378378,24,2
1,0.341463414634146,0,1
1,0.341463414634146,0,1
1,0.311111111111111,0,1
1,0.341463414634146,0,1
1,0.341463414634146,0,1
1,0.311111111111111,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.104220948410631,0,1
1,0.105429625724829,0,1
2,0.105596620908131,6.77622377622378,2
1,0.105429625724829,0,1
2,0.105596620908131,6.77622377622378,2
2,0.105596620908131,6.77622377622378,2
2,0.105596620908131,6.77622377622378,2
1,0.105429625724829,0,1
2,0.105596620908131,6.77622377622378,2
1,0.105429625724829,0,1
1,0.105429625724829,0,1
3,0.130548302872063,4749.20699300702,3
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
2,0.105596620908131,6.77622377622378,2
3,0.130548302872063,4749.20699300702,3
2,0.105596620908131,6.77622377622378,2
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.104220948410631,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.111172873818788,0,1
1,0.111172873818788,0,1
1,0.10482180293501,0,1
2,0.144613159797542,800.728150143314,2
2,0.16116035455278,2732.57143680713,2
2,1,1,2
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
2,0.124223602484472,167.571428571428,2
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
2,0.124223602484472,167.571428571428,2
2,0.124223602484472,167.571428571428,2
1,0.0999500249875062,0,1
1,0.538461538461538,0,1
1,0.121359223300971,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.121359223300971,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.121359223300971,0,1
1,0.538461538461538,0,1
1,0.080450522928399,0,1
2,0.124223602484472,167.571428571428,2
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
2,0.124223602484472,167.571428571428,2
2,0.124223602484472,167.571428571428,2
1,0.123992560446373,0,1
1,0.123992560446373,0,1
1,0.123992560446373,0,1
2,0.124223602484472,167.571428571428,2
1,0.123992560446373,0,1
1,1,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
1,0.523809523809524,0,1
2,0.344086021505376,15,2
2,0.344086021505376,15,2
2,0.130293159609121,3547.60000000001,2
1,0.105429625724829,0,1
2,0.105596620908131,6.77622377622378,2
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
1,0.105429625724829,0,1
2,0.105596620908131,6.77622377622378,2
1,0.105429625724829,0,1
2,0.0943396226415094,0.5,2
3,0.124223602484472,1193,3
1,0.123992560446373,0,1
1,0.0753863550697324,0,1
1,0.336842105263158,0,1
1,0.299065420560748,0,1
1,0.299065420560748,0,1
1,0.299065420560748,0,1
1,0.336842105263158,0,1
2,0.463768115942029,247,2
1,0.299065420560748,0,1
1,0.336842105263158,0,1
1,0.336842105263158,0,1
1,0.299065420560748,0,1
1,1,0,1
2,0.304761904761905,15,2
1,0.299065420560748,0,1
1,0.299065420560748,0,1
2,0.304761904761905,15,2
1,0.299065420560748,0,1
1,0.299065420560748,0,1
2,0.0939408172851104,264.000000000001,2
2,0.0759301442672741,1975,2
4,0.088809946714032,1933.5,4
